STONE (STONE): [0, 0]
SPLASH_POTION_OF_HARMING (POTION:16460): [6, 15]
SPLASH_POTION_OF_HARMING (POTION:16428): [7, 15]
POTION_OF_WATER_BREATHING (POTION:8237): [8, 15]
POTION_OF_WATER_BREATHING (POTION:8269): [9, 15]
SPLASH_POTION_OF_WATER_BREATHING (POTION:16429): [10, 15]
SPLASH_POTION_OF_WATER_BREATHING (POTION:16461): [11, 15]
POTION_OF_INVISIBILITY (POTION:8238): [12, 15]
POTION_OF_INVISIBILITY (POTION:8270): [13, 15]
SPLASH_POTION_OF_INVISIBILITY (POTION:16430): [14, 15]
SPLASH_POTION_OF_INVISIBILITY (POTION:16462): [15, 15]
GLASS_BOTTLE (GLASS_BOTTLE): [16, 15]
SPIDER_EYE (SPIDER_EYE): [17, 15]
FERMENTED_SPIDER_EYE (FERMENTED_SPIDER_EYE): [18, 15]
BLAZE_POWDER (BLAZE_POWDER): [19, 15]
MAGMA_CREAM (MAGMA_CREAM): [20, 15]
BREWING_STAND (BREWING_STAND): [21, 15]
CAULDRON (CAULDRON): [22, 15]
EYE_OF_ENDER (ENDER_EYE): [23, 15]
GLISTERING_MELON (SPECKLED_MELON): [24, 15]
SPAWN_CREEPER (SPAWN_EGG:50): [25, 15]
SPAWN_SKELETON (SPAWN_EGG:51): [26, 15]
SPAWN_SPIDER (SPAWN_EGG:52): [27, 15]
SPAWN_ZOMBIE (SPAWN_EGG:54): [28, 15]
SPAWN_SLIME (SPAWN_EGG:55): [29, 15]
SPAWN_GHAST (SPAWN_EGG:56): [30, 15]
SPAWN_ZOMBIE_PIGMAN (SPAWN_EGG:57): [31, 15]
SPAWN_ENDERMAN (SPAWN_EGG:58): [0, 16]
SPAWN_CAVE_SPIDER (SPAWN_EGG:59): [1, 16]
SPAWN_SILVERFISH (SPAWN_EGG:60): [2, 16]
SPAWN_BLAZE (SPAWN_EGG:61): [3, 16]
SPAWN_MAGMA_CUBE (SPAWN_EGG:62): [4, 16]
SPAWN_BAT (SPAWN_EGG:65): [5, 16]
SPAWN_WITCH (SPAWN_EGG:66): [6, 16]
SPAWN_ENDERMITE (SPAWN_EGG:67): [7, 16]
SPAWN_GUARDIAN (SPAWN_EGG:68): [8, 16]
SPAWN_PIG (SPAWN_EGG:90): [9, 16]
SPAWN_SHEEP (SPAWN_EGG:91): [10, 16]
SPAWN_COW (SPAWN_EGG:92): [11, 16]
SPAWN_CHICKEN (SPAWN_EGG:93): [12, 16]
SPAWN_SQUID (SPAWN_EGG:94): [13, 16]
SPAWN_WOLF (SPAWN_EGG:95): [14, 16]
SPAWN_MOOSHROOM (SPAWN_EGG:96): [15, 16]
SPAWN_OCELOT (SPAWN_EGG:98): [16, 16]
SPAWN_HORSE (SPAWN_EGG:100): [17, 16]
SPAWN_RABBIT (SPAWN_EGG:101): [18, 16]
SPAWN_VILLAGER (SPAWN_EGG:120): [19, 16]
BOTTLE_O'_ENCHANTING (EXPERIENCE_BOTTLE): [20, 16]
FIRE_CHARGE (FIRE_CHARGE): [21, 16]
BOOK_AND_QUILL (WRITABLE_BOOK): [22, 16]
WRITTEN_BOOK (WRITTEN_BOOK): [23, 16]
EMERALD (EMERALD): [24, 16]
ITEM_FRAME (ITEM_FRAME): [25, 16]
FLOWER_POT (FLOWER_POT): [26, 16]
CARROT (CARROT): [27, 16]
POTATO (POTATO): [28, 16]
BAKED_POTATO (BAKED_POTATO): [29, 16]
POISONOUS_POTATO (POISONOUS_POTATO): [30, 16]
EMPTY_MAP (MAP): [31, 16]
GOLDEN_CARROT (GOLDEN_CARROT): [0, 17]
SKELETON_SKULL (SKULL): [1, 17]
WITHER_SKELETON_SKULL (SKULL:1): [2, 17]
ZOMBIE_HEAD (SKULL:2): [3, 17]
HEAD (SKULL:3): [4, 17]
CREEPER_HEAD (SKULL:4): [5, 17]
CARROT_ON_A_STICK (CARROT_ON_A_STICK): [6, 17]
NETHER_STAR (NETHER_STAR): [7, 17]
PUMPKIN_PIE (PUMPKIN_PIE): [8, 17]
FIREWORK_ROCKET (FIREWORKS): [9, 17]
FIREWORK_STAR (FIREWORK_CHARGE): [10, 17]
ENCHANTED_BOOK (ENCHANTED_BOOK): [11, 17]
REDSTONE_COMPARATOR (COMPARATOR): [12, 17]
NETHER_BRICK (NETHERBRICK): [13, 17]
NETHER_QUARTZ (QUARTZ): [14, 17]
MINECART_WITH_TNT (TNT_MINECART): [15, 17]
MINECART_WITH_HOPPER (HOPPER_MINECART): [16, 17]
PRISMARINE_SHARD (PRISMARINE_SHARD): [17, 17]
PRISMARINE_CRYSTALS (PRISMARINE_CRYSTALS): [18, 17]
RAW_RABBIT (RABBIT): [19, 17]
COOKED_RABBIT (COOKED_RABBIT): [20, 17]
RABBIT_STEW (RABBIT_STEW): [21, 17]
RABBIT'S_FOOT (RABBIT_FOOT): [22, 17]
RABBIT_HIDE (RABBIT_HIDE): [23, 17]
ARMOR_STAND (ARMOR_STAND): [24, 17]
IRON_HORSE_ARMOR (IRON_HORSE_ARMOR): [25, 17]
GOLD_HORSE_ARMOR (GOLDEN_HORSE_ARMOR): [26, 17]
DIAMOND_HORSE_ARMOR (DIAMOND_HORSE_ARMOR): [27, 17]
LEAD (LEAD): [28, 17]
NAME_TAG (NAME_TAG): [29, 17]
MINECART_WITH_COMMAND_BLOCK (COMMAND_BLOCK_MINECART): [30, 17]
RAW_MUTTON (MUTTON): [31, 17]
COOKED_MUTTON (COOKED_MUTTON): [0, 18]
WHITE_BANNER (BANNER:15): [1, 18]
ORANGE_BANNER (BANNER:14): [2, 18]
MAGENTA_BANNER (BANNER:13): [3, 18]
LIGHT_BLUE_BANNER (BANNER:12): [4, 18]
YELLOW_BANNER (BANNER:11): [5, 18]
LIME_BANNER (BANNER:10): [6, 18]
PINK_BANNER (BANNER:9): [7, 18]
GRAY_BANNER (BANNER:8): [8, 18]
LIGHT_GRAY_BANNER (BANNER:7): [9, 18]
CYAN_BANNER (BANNER:6): [10, 18]
PURPLE_BANNER (BANNER:5): [11, 18]
BLUE_BANNER (BANNER:4): [12, 18]
BROWN_BANNER (BANNER:3): [13, 18]
GREEN_BANNER (BANNER:2): [14, 18]
RED_BANNER (BANNER:1): [15, 18]
BLACK_BANNER (BANNER): [16, 18]
SPRUCE_DOOR (SPRUCE_DOOR): [17, 18]
BIRCH_DOOR (BIRCH_DOOR): [18, 18]
JUNGLE_DOOR (JUNGLE_DOOR): [19, 18]
ACACIA_DOOR (ACACIA_DOOR): [20, 18]
DARK_OAK_DOOR (DARK_OAK_DOOR): [21, 18]
MUSIC_DISC (RECORD_13): [22, 18]
MUSIC_DISC (RECORD_CAT): [23, 18]
MUSIC_DISC (RECORD_BLOCKS): [24, 18]
MUSIC_DISC (RECORD_CHIRP): [25, 18]
MUSIC_DISC (RECORD_FAR): [26, 18]
MUSIC_DISC (RECORD_MALL): [27, 18]
MUSIC_DISC (RECORD_MELLOHI): [28, 18]
MUSIC_DISC (RECORD_STAL): [29, 18]
MUSIC_DISC (RECORD_STRAD): [30, 18]
MUSIC_DISC (RECORD_WARD): [31, 18]
MUSIC_DISC (RECORD_11): [0, 19]
MUSIC_DISC (RECORD_WAIT): [1, 19]
